
> ke-wedding-website@1.0.0 dev
> node "./node_modules/next/dist/bin/next" dev --hostname 127.0.0.1 --port 3000

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://127.0.0.1:3000
- Network:       http://127.0.0.1:3000
- Environments: .env.local

✓ Starting...
 GET / 200 in 244ms (compile: 165ms, render: 79ms)
 GET / 200 in 128ms (compile: 4ms, render: 124ms)
 GET / 200 in 65ms (compile: 4ms, render: 61ms)
 GET /api/wedding-image?name=logo.png 200 in 12ms (compile: 3ms, render: 9ms)
 GET /api/wedding-image?name=couple+picture.jpg&v=1772388681292.4543 200 in 24ms (compile: 3ms, render: 21ms)
 GET /api/wedding-image?name=name+pic.png&v=1772624863949.0823 200 in 22ms (compile: 3ms, render: 19ms)
 GET /api/wedding-image?name=logo.png&v=1772389159594.0342 200 in 17ms (compile: 3ms, render: 14ms)
 GET /api/wedding-image?name=Skyline+church.jpg&v=1772389924431.0286 200 in 15ms (compile: 4ms, render: 11ms)
✓ Compiled in 59ms
 GET / 200 in 195ms (compile: 132ms, render: 62ms)
 GET / 200 in 171ms (compile: 5ms, render: 166ms)
 GET /api/wedding-image?name=logo.png 200 in 16ms (compile: 4ms, render: 12ms)
 GET /api/wedding-image?name=name+pic.png&v=1772624863949.0823 200 in 22ms (compile: 5ms, render: 17ms)
 GET /api/wedding-image?name=couple+picture.jpg&v=1772388681292.4543 200 in 62ms (compile: 3ms, render: 59ms)
 GET /api/wedding-image?name=logo.png&v=1772389159594.0342 200 in 29ms (compile: 4ms, render: 25ms)
 GET /api/wedding-image?name=Skyline+church.jpg&v=1772389924431.0286 200 in 16ms (compile: 5ms, render: 10ms)
✓ Compiled in 59ms
 GET / 200 in 195ms (compile: 126ms, render: 68ms)
 GET /photos 200 in 82ms (compile: 50ms, render: 32ms)
 GET /api/wedding-image?name=En+pic+1.jpg&v=1772200491261.471 200 in 35ms (compile: 3ms, render: 32ms)
 GET /api/wedding-image?name=En+pic+2.jpg&v=1772200495122.1804 200 in 46ms (compile: 3ms, render: 42ms)
 GET /api/wedding-image?name=En+pic+3.jpg&v=1772200491993.6292 200 in 41ms (compile: 7ms, render: 34ms)
 GET /api/wedding-image?name=En+pic+4.jpg&v=1772200491312.6526 200 in 51ms (compile: 12ms, render: 39ms)
 GET /api/wedding-image?name=En+pic+5.jpg&v=1772200496249.2603 200 in 63ms (compile: 5ms, render: 58ms)
